client_name,client_title,client_company,rating,review_text,platform,date,country_code,country_name,city,is_featured
kenroan,,kenroan,5,"Fast turn around, quick response, and extremely flexible!",Fiverr,February 2021,US,United States,,false
mkuhne30,,mkuhne30,5,Really went above and beyond my expectations! Awesome experience.,Fiverr,February 2021,US,United States,,true
kenroan,,kenroan,4,Any edits that I asked for was done complaint free and quickly.,Fiverr,February 2021,US,United States,,false
kei27isblessed,,kei27isblessed,5,This is my second project and his skills are amazing.,Fiverr,February 2021,US,United States,,false
mkuhne30,,mkuhne30,5,This seller delivered what was asked. Definitely went above and beyond.,Fiverr,February 2021,US,United States,,false
vhjaber,,vhjaber,5,i like to work with good people. Thank you so much!,Fiverr,February 2021,DE,Germany,,false
memyselfmike,,memyselfmike,5,Good communication and I can see a lot of work went into the task,Fiverr,February 2021,GB,United Kingdom,,false
wenzos,,wenzos,5,Good job,Fiverr,February 2021,IT,Italy,,false
vhjaber,,vhjaber,5,Very professional work! Thank you,Fiverr,February 2021,DE,Germany,,false
kei27isblessed,,kei27isblessed,5,"Thanks, fast delivery. Well done.",Fiverr,February 2021,US,United States,,false
alexwinkler939,,alexwinkler939,5,Looking forward to working with him again!,Fiverr,February 2021,US,United States,,false
